product_name,product_name_da,brands,categories_tags,main_category,main_category_en,labels_tags,languages_tags,countries_tags,lc,ecoscore_grade,environmental_score_grade,ecoscore_score
Cheddar,<NA>,McDonald's,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:cheeses-from-the-united-kingdom,en:cheeses-from-england,en:sliced-cheeses,en:cheddar-cheese,en:cheddar-slices",en:cheddar-slices,Cheddar slices,,<na>,"en:denmark,en:france,en:norway,en:poland,en:spain,en:sweden,en:united-kingdom",<na>,,c,
Mayonnaise Mayo Light Big Mouth Jar,<NA>,Kraft,,,,,<na>,en:denmark,<na>,,unknown,
Caramel Macchiato High Protein Coffee Drink,<NA>,Dr. Ortker,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:coffees",en:coffees,Coffees,,<na>,en:denmark,<na>,,unknown,
Skyrdrik,<NA>,Cheasy skyrdrik,,,,,<na>,en:denmark,<na>,,unknown,
Salt and Pepper Ribs,<NA>,Co-op Gold,,,,,<na>,en:denmark,<na>,,unknown,
Carls junior dobbel cheeseburger,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Ice cream cake,<NA>,Oreo,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes",en:cakes,Cakes,,<na>,en:denmark,<na>,,unknown,
Ovnbagte Chips Sourcream &Onion,<NA>,Taffel,,,,,<na>,en:denmark,<na>,,unknown,
schokolade,<NA>,Lindt,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:cocoa-and-chocolate-powders,en:dark-chocolates,en:cocoa-powders",en:cocoa-powders,Cocoa powders,,<na>,en:denmark,<na>,,f,
Ananas in Scheiben,<NA>,Del monte,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:canned-plant-based-foods,en:fruits-based-foods,en:fruits,en:canned-fruits,en:tropical-fruits,en:pineapple,en:canned-fruits-in-juice,en:canned-pineapples,en:pineapple-in-juice",en:pineapple-in-juice,Pineapple in juice,"en:vegetarian,en:vegan,en:no-added-sugar",<na>,"en:belgium,en:denmark,en:france,en:germany,en:spain,en:united-states",<na>,,a,
