product_name,eco_score,eco_signal,organic_badge,lang_da,green_words,category,labels_tags,languages_tags,countries_tags
Cheddar,C,0,0,0,0,Cheddar slices,,<na>,"en:denmark,en:france,en:norway,en:poland,en:spain,en:sweden,en:united-kingdom"
Mayonnaise Mayo Light Big Mouth Jar,,0,0,0,0,unknown,,<na>,en:denmark
Caramel Macchiato High Protein Coffee Drink,,0,0,0,0,Coffees,,<na>,en:denmark
Skyrdrik,,0,0,1,0,unknown,,<na>,en:denmark
Salt and Pepper Ribs,,0,0,0,0,unknown,,<na>,en:denmark
Carls junior dobbel cheeseburger,,0,0,0,0,unknown,,<na>,en:denmark
Ice cream cake,,0,0,0,0,Cakes,,<na>,en:denmark
Ovnbagte Chips Sourcream &Onion,,0,0,0,0,unknown,,<na>,en:denmark
schokolade,,0,0,0,0,Cocoa powders,,<na>,en:denmark
Ananas in Scheiben,A,1,0,0,0,Pineapple in juice,"en:vegetarian,en:vegan,en:no-added-sugar",<na>,"en:belgium,en:denmark,en:france,en:germany,en:spain,en:united-states"
Parboiled Sella Basmati Rice,,0,0,0,0,unknown,,<na>,en:denmark
Honey,,0,0,0,0,unknown,,<na>,en:denmark
Chicken And Beef Burger,,0,0,0,0,unknown,,<na>,en:denmark
choco-oat Mursli,,0,0,0,0,unknown,"en:fsc,en:fsc-mix,en:rainforest-alliance",<na>,en:denmark
Højrebsbøf,,0,0,1,0,unknown,,<na>,en:denmark
Russin,B,1,0,0,0,Raisins,en:no-gluten,<na>,"en:denmark,en:sweden"
Rosiner,B,1,0,0,0,Raisins,,<na>,en:denmark
Super blends shine,,0,0,0,0,unknown,,<na>,en:denmark
Casa Di Mama,,0,0,0,0,unknown,,<na>,en:denmark
HP Sauce (The Original),,0,0,0,0,unknown,en:green-dot,<na>,en:denmark
Crispy Stocks,,0,0,0,0,unknown,,<na>,en:denmark
Crème Fraiche,,0,0,0,0,unknown,,<na>,en:denmark
No Sugar Added Ketchup Style Sauce,B,1,0,0,0,Ketchup,"en:kosher,en:orthodox-union-kosher",<na>,"en:canada,en:denmark,en:france"
Basil Pesto,D,0,0,0,0,Green pestos,,<na>,"en:canada,en:denmark,en:france"
Mixed legumes,,0,0,0,0,unknown,,<na>,en:denmark
Mozzarella,,0,0,0,0,unknown,,<na>,en:denmark
"Gold D'or, Cottage Cheese - Coop - Coop - Coop",,0,0,0,0,unknown,,<na>,en:denmark
Pita bread,,0,0,0,0,unknown,,<na>,en:denmark
Turkey Harvest Salad,,0,0,0,0,unknown,,<na>,en:denmark
Fior di Frutta Himbeere,,0,1,0,0,unknown,"en:organic,en:eu-organic,de:eg-öko-verordnung",<na>,en:denmark
