item_id,product_name,organic_badge,salience,eco_signal,eco_score,lang_da,green_words,category,labels_tags,languages_tags,countries_tags
1,Tomatketchup Heinz 580 g Økologisk,1,high,1,A,1,1,Groceries,"en:organic,en:eu-organic,en:green-dot,en:nl-bio-01",<na>,"en:denmark,en:france,en:spain"
2,Græsk yoghurt,1,low,1,A,1,0,Yogurts,"en:organic,en:eu-organic",<na>,en:denmark
3,Røde kidneybønner,0,high,1,A,1,0,Dried red kidney beans,,<na>,en:denmark
4,Proteinbrød,0,high,1,A,1,0,Rye breads,en:keyhole,<na>,en:denmark
5,Økologisk mørk chokolade 70%,1,high,0,D,1,1,Dark chocolates,"en:organic,en:eu-organic",<na>,en:denmark
6,Økologiske kikærter,1,low,1,A,1,1,Canned chickpeas,"en:organic,en:eu-organic,en:eu-agriculture,en:it-bio-009",<na>,en:denmark
7,Øko Mini Mælk,1,high,0,C,1,0,Milks,"en:organic,en:eu-organic,en:pasteurized,en:dk-øko-100,en:fsc,en:keyhole,en:dk-oko-100",<na>,en:denmark
8,øko mayo,1,high,0,C,1,0,Mayonnaises,"en:organic,en:eu-organic,en:dk-øko-100",<na>,en:denmark
9,Snack Chips Supersprød med Sour Cream & Onion,0,low,1,B,1,0,Potato crisps,,<na>,"en:denmark,en:france,en:germany"
10,Dansk flormelis,0,high,1,A,1,0,da:flormelis,,<na>,en:denmark
11,Kidneybønner,1,low,1,A,1,0,Canned red kidney beans,"en:organic,en:eu-organic,en:debio-organic,en:it-bio-009,en:keyhole,sv:krav",<na>,"en:denmark,en:germany"
12,Jule-hvidtøl,0,high,0,D,1,0,Danish beers,,<na>,en:denmark
13,Thise vaniljeskyr,1,low,1,A,1,0,Skyrs,da:okologisk,<na>,en:denmark
14,Økologiske Kikærter,1,high,1,A,1,1,Chickpeas,"en:organic,en:eu-organic,en:dk-øko-100",<na>,"en:denmark,en:faroe-islands"
15,Varmrøget laks med peber,0,high,0,E,1,0,Smoked salmons,,<na>,en:denmark
